127.0.0.1 - - [06/Apr/2013:14:45:08 +0530] "GET / HTTP/1.1" 200 12079
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/index.jsp HTTP/1.1" 200 9486
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/style.css HTTP/1.1" 200 12801
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/js/boxOver.js HTTP/1.1" 200 11231
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/B10000.jpg HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/B10001.jpg HTTP/1.1" 200 4978
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/B10002.jpg HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/B20001.jpg HTTP/1.1" 200 7475
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/B20002.jpg HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/B20003.jpg HTTP/1.1" 200 4691
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/B40001.jpg HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/B40002.jpg HTTP/1.1" 200 5791
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/B40003.jpg HTTP/1.1" 200 6657
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/bg.jpg HTTP/1.1" 200 47233
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/menu_bg.gif HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/product_box_center.gif HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/menu_left.gif HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/menu_right.gif HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/home.png HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/menu_divider.gif HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/services.png HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/header_background.jpg HTTP/1.1" 200 67872
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/user_add.png HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/menu_title_bg.gif HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/car.png HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/checked.png HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/bar_bg.gif HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [06/Apr/2013:14:45:15 +0530] "GET /OnlineBook/images/product_box_top.gif HTTP/1.1" 200 222
