127.0.0.1 - - [02/Apr/2013:13:05:29 +0530] "GET / HTTP/1.1" 200 12079
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:35 +0530] "GET /OnlineBook/index.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:35 +0530] "GET /OnlineBook/style.css HTTP/1.1" 200 12801
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:35 +0530] "GET /OnlineBook/js/boxOver.js HTTP/1.1" 200 11231
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/menu_bg.gif HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/bg.jpg HTTP/1.1" 200 47233
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/menu_left.gif HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/menu_right.gif HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/home.png HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/menu_divider.gif HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/services.png HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/user_add.png HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/car.png HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/header_background.jpg HTTP/1.1" 200 67872
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/checked.png HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/menu_title_bg.gif HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/footer_bg.gif HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:05:36 +0530] "GET /OnlineBook/images/bar_bg.gif HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [02/Apr/2013:13:06:18 +0530] "GET /OnlineBook/index.jsp HTTP/1.1" 200 3313
